parent_nis,nis,parent_is_sub,population_rel_to_parent,latitude,longitude,name
71053,71053,True,0.06666666666666665,50.81666666666667,5.183333333333334,SINT-TRUIDEN
11044,110441,True,0.5,51.31666666666667,4.4,HOEVENEN
11044,11044,True,0.5,51.333333333333336,4.366666666666666,STABROEK
36019,360191,True,0.2586299409765695,50.93333333333333,3.0166666666666666,WESTROZEBEKE
36019,360192,True,0.40803672569009714,50.93333333333333,3.066666666666667,OOSTNIEUWKERKE
36019,36019,True,0.33333333333333337,50.96666666666667,3.0166666666666666,STADEN
23081,230811,True,0.36237348680293713,50.93333333333333,4.5,PERK
23081,230812,True,0.3042931798637296,50.916666666666664,4.483333333333333,MELSBROEK
23081,23081,True,0.33333333333333326,50.916666666666664,4.516666666666667,STEENOKKERZEEL
46024,460241,True,0.5,51.2,4.083333333333333,KEMZEKE
46024,46024,True,0.5,51.2,4.033333333333333,STEKENE
46025,460251,True,0.25,51.11666666666667,4.133333333333334,ELVERSELE
46025,460252,True,0.25,51.11666666666667,4.183333333333334,TIELRODE
46025,460253,True,0.25,51.13333333333333,4.266666666666667,STEENDORP
46025,46025,True,0.25,51.11666666666667,4.216666666666667,TEMSE
23086,230861,True,0.45910668477440775,50.86666666666667,4.15,SINT-KATHERINA-LOMBEEK
23086,230862,True,0.20755998189225897,50.85,4.166666666666667,WAMBEEK
23086,23086,True,0.33333333333333326,50.86666666666667,4.183333333333334,TERNAT
24104,241041,True,0.3333333333333333,50.81666666666667,4.55,DUISBURG
24104,241042,True,0.3333333333333333,50.833333333333336,4.55,VOSSEM
24104,24104,True,0.33333333333333337,50.81666666666667,4.516666666666667,TERVUREN
37015,370151,True,0.1543474032289438,51.03333333333333,3.3333333333333335,SCHUIFERSKAPELLE
37015,370152,True,0.17039486481229332,51.016666666666666,3.4,KANEGEM
37015,370153,True,0.4252577319587629,51.0,3.4166666666666665,AARSELE
37015,37015,True,0.25,51.0,3.3333333333333335,TIELT
72039,720391,False,0.22232226223822862,51.05,5.383333333333334,HELCHTEREN
72039,720392,False,0.7776777377617714,51.03333333333333,5.366666666666666,HOUTHALEN
24107,241071,True,0.11111111111111115,50.833333333333336,4.916666666666667,VISSENAKEN
24107,241072,True,0.11111111111111115,50.833333333333336,4.966666666666667,SINT-MARGRIETE-HOUTEM
24107,241073,True,0.11111111111111115,50.833333333333336,4.983333333333333,OPLINTER
24107,241074,True,0.11111111111111115,50.8,4.866666666666667,OORBEEK
24107,241075,True,0.11111111111111115,50.81666666666667,4.883333333333333,KUMTICH
24107,241076,True,0.11111111111111115,50.8,4.983333333333333,HAKENDOVER
24107,241077,True,0.11111111111111115,50.766666666666666,4.95,GOETSENHOVEN
24107,241078,True,0.11111111111111115,50.78333333333333,4.95,BOST
24107,24107,True,0.11111111111111083,50.8,4.933333333333334,TIENEN
73083,730831,True,0.06825547371607305,50.78333333333333,5.5,BERG
73083,730832,True,0.025507012410453035,50.766666666666666,5.4,WIDOOIE
73083,730833,True,0.044427403894662494,50.766666666666666,5.533333333333333,SLUIZEN
73083,730834,True,0.05579255372818081,50.75,5.45,RUTTEN
73083,730835,True,0.069740692160226,50.8,5.466666666666667,RIKSINGEN
73083,730836,True,0.11494299263444656,50.75,5.5,VREREN
73083,730837,True,0.05895671476137625,50.78333333333333,5.416666666666667,PIRINGEN
73083,730838,True,0.04100494400161437,50.8,5.433333333333334,OVERREPEN
73083,730839,True,0.060054484915750175,50.766666666666666,5.516666666666667,NEREM
73083,7308310,True,0.018597517909393606,50.81666666666667,5.45,NEERREPEN
73083,7308311,True,0.07290485319342146,50.766666666666666,5.516666666666667,MAL
73083,7308312,True,0.06832004843103623,50.733333333333334,5.416666666666667,LAUW
73083,7308313,True,0.12346685500958529,50.766666666666666,5.45,KONINKSEM
73083,7308314,True,0.03532236908485521,50.8,5.5,'S HERENELDEREN
73083,7308315,True,0.060506507920492385,50.8,5.466666666666667,HENIS
73083,7308316,True,0.023376046816668345,50.75,5.483333333333333,DIETS-HEUR
73083,73083,True,0.05882352941176472,50.78333333333333,5.466666666666667,TONGEREN
24109,241091,True,0.5,51.0,4.75,BAAL
24109,24109,True,0.5,51.0,4.7,TREMELO
38025,380251,True,0.006031882809133994,51.05,2.75,ZOUTENAAIE
38025,380252,True,0.0965101249461439,51.016666666666666,2.65,WULVERINGEM
38025,380253,True,0.09449949734309923,51.016666666666666,2.65,VINKEM
38025,380254,True,0.11747809852075253,51.05,2.6833333333333336,STEENKERKE
38025,380255,True,0.1935947149217291,51.016666666666666,2.6166666666666667,HOUTEM
38025,380256,True,0.09277610225477524,51.06666666666667,2.7333333333333334,AVEKAPELLE
38025,380257,True,0.029297716501507965,51.083333333333336,2.75,BOOITSHOEKE
38025,380258,True,0.03360620422231796,51.05,2.6,DE MOEREN
38025,380259,True,0.19761597012781842,51.05,2.65,BULSKAMP
38025,3802510,True,0.04768059744363061,51.05,2.716666666666667,EGGEWAARTSKAPELLE
38025,38025,True,0.09090909090909105,51.06666666666667,2.6666666666666665,VEURNE
23088,230881,True,0.5,50.93333333333333,4.45,PEUTIE
23088,23088,True,0.5,50.93333333333333,4.416666666666667,VILVOORDE
34040,340401,True,0.1877415199656505,50.9,3.4,SINT-ELOOIS-VIJVE
34040,340402,True,0.27721124946328896,50.88333333333333,3.35,DESSELGEM
34040,340403,True,0.2850472305710606,50.88333333333333,3.35,BEVEREN
34040,34040,True,0.25,50.88333333333333,3.4333333333333336,WAREGEM
73098,730981,True,0.5682010135135135,50.85,5.3,ULBEEK
73098,730982,True,0.06144425675675676,50.833333333333336,5.333333333333333,HERTEN
73098,730983,True,0.12035472972972973,50.81666666666667,5.316666666666666,BERLINGEN
73098,73098,True,0.25,50.833333333333336,5.35,WELLEN
33029,330291,True,0.5,50.81666666666667,3.0833333333333335,GELUWE
33029,33029,True,0.5,50.78333333333333,3.05,WERVIK
42025,420251,True,0.33333333333333337,50.96666666666667,3.8666666666666667,WESTREM
42025,420252,True,0.33333333333333337,50.983333333333334,3.8666666666666667,MASSEMEN
42025,42025,True,0.33333333333333326,51.0,3.8833333333333333,WETTEREN
24135,241351,False,0.11997624232825184,50.9,4.916666666666667,MEENSEL-KIEZEGEM
24135,241352,False,0.4525836468026133,50.93333333333333,4.9,TIELT
24135,241353,False,0.28489408038012276,50.9,4.883333333333333,SINT-JORIS-WINGE
24135,241354,False,0.14254603048901207,50.93333333333333,4.866666666666667,HOUWAART
34041,340411,True,0.27596406419000946,50.833333333333336,3.1666666666666665,MOORSELE
34041,340412,True,0.3907026024766571,50.85,3.2,GULLEGEM
34041,34041,True,0.3333333333333335,50.81666666666667,3.183333333333333,WEVELGEM
42026,420261,True,0.30252257283812717,50.983333333333334,3.9333333333333336,SERSKAMP
42026,420262,True,0.3641440938285395,51.016666666666666,3.9333333333333336,SCHELLEBELLE
42026,42026,True,0.33333333333333326,51.0,3.9833333333333334,WICHELEN
37017,370171,True,0.4189328743545611,50.9,3.3333333333333335,OOIGEM
37017,370172,True,0.24773379231210557,50.916666666666664,3.4,SINT-BAAFS-VIJVE
37017,37017,True,0.33333333333333326,50.916666666666664,3.3666666666666667,WIELSBEKE
12040,120401,True,0.25,51.03333333333333,4.366666666666666,TISSELT
12040,120402,True,0.25,51.06666666666667,4.4,HEINDONK
12040,120403,True,0.25,51.05,4.366666666666666,BLAASVELD
12040,12040,True,0.25,51.05,4.366666666666666,WILLEBROEK
37018,370181,True,0.5,51.03333333333333,3.216666666666667,ZWEVEZELE
37018,37018,True,0.5,51.05,3.283333333333333,WINGENE
11053,110531,True,0.5,51.4,4.65,LOENHOUT
11053,11053,True,0.5,51.38333333333333,4.6,WUUSTWEZEL
11054,110541,True,0.27849686847599164,51.2,4.716666666666667,PULLE
11054,110542,True,0.27609603340292277,51.21666666666667,4.7,PULDERBOS
11054,110543,True,0.12118997912317328,51.2,4.633333333333333,MASSENHOVEN
11054,110544,True,0.12421711899791232,51.18333333333333,4.65,VIERSEL
11054,11054,True,0.19999999999999996,51.21666666666667,4.666666666666667,ZANDHOVEN
23094,230941,True,0.3195707530010913,50.86666666666667,4.516666666666667,STERREBEEK
23094,230942,True,0.31661513277555475,50.86666666666667,4.45,SINT-STEVENS-WOLUWE
23094,230943,True,0.11381411422335394,50.88333333333333,4.5,NOSSEGEM
23094,23094,True,0.25,50.88333333333333,4.466666666666667,ZAVENTEM
23096,230961,True,0.13207661903314077,50.96666666666667,4.483333333333333,WEERDE
23096,230962,True,0.22684098510185471,50.983333333333334,4.5,HOFSTADE
23096,230963,True,0.2421161447248404,50.96666666666667,4.5,ELEWIJT
23096,230964,True,0.19896625114016417,50.96666666666667,4.45,EPPEGEM
23096,23096,True,0.19999999999999996,50.983333333333334,4.466666666666667,ZEMST
45057,450571,True,0.3333333333333333,50.916666666666664,3.6,OUWEGEM
45057,450572,True,0.3333333333333333,50.9,3.5833333333333335,HUISE
45057,45057,True,0.33333333333333337,50.9,3.65,ZINGEM
11055,110551,True,0.5,51.233333333333334,4.65,HALLE
11055,11055,True,0.5,51.266666666666666,4.716666666666667,ZOERSEL
44080,440801,True,0.31464174454828664,51.13333333333333,3.55,RONSELE
44080,440802,True,0.3520249221183801,51.15,3.5166666666666666,OOSTWINKEL
44080,44080,True,0.33333333333333326,51.11666666666667,3.5666666666666664,ZOMERGEM
33037,330371,True,0.05114058355437666,50.81666666666667,2.9833333333333334,ZANDVOORDE
33037,330372,True,0.3106631299734748,50.9,3.0166666666666666,PASSENDALE
33037,330373,True,0.15342175066313,50.833333333333336,3.0,GELUVELD
33037,330374,True,0.28477453580901857,50.85,3.033333333333333,BESELARE
33037,33037,True,0.19999999999999996,50.86666666666667,2.9833333333333334,ZONNEBEKE
41081,410811,True,0.10818129921352715,50.833333333333336,3.8,SINT-MARIA-OUDENHOVE
41081,410812,True,0.028024287716020554,50.9,3.8333333333333335,OOMBERGEN
41081,410813,True,0.1972079505942187,50.86666666666667,3.783333333333333,STRIJPEN
41081,410814,True,0.04595228322458589,50.85,3.783333333333333,SINT-GORIKS-OUDENHOVE
41081,410815,True,0.06208747918229469,50.88333333333333,3.8333333333333335,LEEUWERGEM
