parent_id,id,population_rel_to_parent,latitude,longitude,name
31006,310063,0.057823129251700675,51.28333333333333,3.3,OOSTKERKE
31006,310064,0.2580673294959009,51.25,3.3333333333333335,MOERKERKE
31006,310065,0.0318332461189604,51.28333333333333,3.35,LAPSCHEURE
31006,310066,0.01273329844758416,51.3,3.3333333333333335,HOEKE
31006,310061,0.16666666666666674,51.25,3.283333333333333,DAMME
38008,380082,0.5,51.083333333333336,2.6,ADINKERKE
38008,380081,0.5,51.1,2.6,DE PANNE
44012,440122,0.5,50.983333333333334,3.7,ZEVERGEM
44012,440121,0.5,51.0,3.65,DE PINTE
44011,440112,0.037121973903331835,51.0,3.5,ZEVEREN
44011,440113,0.03787713183070154,50.983333333333334,3.45,WONTERGEM
44011,440114,0.05457009654097924,51.0,3.4833333333333334,VINKT
44011,440115,0.047455713962075166,51.016666666666666,3.5833333333333335,SINT-MARTENS-LEERNE
44011,440116,0.3819509306327826,50.96666666666667,3.533333333333333,PETEGEM-AAN-DE-LEIE
44011,440117,0.028497275469688357,51.016666666666666,3.533333333333333,MEIGEM
44011,440118,0.03755917059812482,50.983333333333334,3.466666666666667,GRAMMENE
44011,440119,0.021661108969288922,50.96666666666667,3.466666666666667,GOTTEM
44011,4401110,0.06685134914925497,51.016666666666666,3.5833333333333335,BACHTE-MARIA-LEERNE
44011,4401111,0.19554615803468162,50.983333333333334,3.5666666666666664,ASTENE
44011,440111,0.09090909090909083,50.983333333333334,3.533333333333333,DEINZE
45059,450592,0.14285714285714282,50.78333333333333,3.8,PARIKE
45059,450593,0.14285714285714282,50.81666666666667,3.716666666666667,ZEGELSEM
45059,450594,0.14285714285714282,50.8,3.75,OPBRAKEL
45059,450595,0.14285714285714282,50.8,3.7666666666666666,NEDERBRAKEL
45059,450596,0.14285714285714282,50.833333333333336,3.7666666666666666,MICHELBEKE
45059,450597,0.14285714285714282,50.766666666666666,3.8166666666666664,EVERBEEK
45059,450598,0.14285714285714282,50.833333333333336,3.7333333333333334,ELST
41011,410112,0.3333333333333333,50.9,4.05,WELLE
41011,410113,0.3333333333333333,50.86666666666667,4.05,IDDERGEM
41011,410111,0.33333333333333337,50.88333333333333,4.083333333333333,DENDERLEEUW
42006,420062,0.054244666956900306,51.0,4.016666666666667,SCHOONAARDE
42006,420063,0.10074372369757655,51.016666666666666,4.066666666666666,OUDEGEM
42006,420064,0.014043680162530837,51.0,4.066666666666666,MESPELARE
42006,420065,0.15930561602089682,51.05,4.1,GREMBERGEN
42006,420066,0.15145842403134524,51.03333333333333,4.166666666666667,BAASRODE
42006,420067,0.06724713394282397,51.03333333333333,4.05,APPELS
42006,420068,0.3279567551879263,51.016666666666666,4.116666666666666,SINT-GILLIS-BIJ-DENDERMONDE
42006,420061,0.125,51.03333333333333,4.1,DENDERMONDE
